Comment,Footprint,Designator
,M03PTH,"JP2, JP3, JP4"
,S-ON-ONSMALL_SLIDE,"SW1, SW2, SW3"
1.0k,R-US_R0603,"R4, R11, R24, R28, R29, R30"
100k,R-US_R0603,"R1, R2, R5, R6, R7, R8, R9, R12, R13, R14, R15, R16, R17, R18, R19, R20, R22, R23, R25, R26"
100n,C-USC0603,"C3, C4, C6, C7, C9, C10, C11, C12, C13, C15"
10k,R-US_R0603,R27
10kB,POT_USVERTICAL_PS,"R3, R10, R21"
10u,CPOL-USB,"C1, C2"
1N5819HW,DIODE-SOD123,"D1, D2"
22p,C-USC0603,"C5, C8, C14"
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F2, F3, F4"
LM321MF,LM321MF,"IC7, IC8, IC9"
LM4040 10V,LM4041C12DBZ,IC6
LME49720,TL072D,"IC1, IC2, IC3, IC4"
M05X2PTH,M05X2PTH,JP1
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6"
TL072,TL072D,IC5
WP937EGW,LED3MM,"LED1, LED2, LED3"
