Designator,Mid X,Mid Y,Rotation,Layer
C1,18.41,104.46,0,Top
C2,24.13,104.46,0,Top
C3,8.57,102.24,90,Top
C4,13.65,93.03,90,Top
C5,10.16,90.81,270,Top
C6,8.57,80.01,90,Top
C7,13.65,70.8,90,Top
C8,10.16,68.58,270,Top
C9,15.24,63.5,270,Top
C10,15.24,59.69,90,Top
C11,8.57,57.79,90,Top
C12,26.67,49.85,0,Top
C13,13.65,48.58,90,Top
C14,10.16,46.04,270,Top
C15,22.07,38.42,270,Top
D1,25.08,91.44,90,Top
D2,27.31,91.44,270,Top
F1,1.91,104.78,90,Top
F2,27.94,104.78,90,Top
F3,2.54,1.91,90,Top
F4,26.67,1.91,90,Top
IC1,10.48,96.52,0,Top
IC2,10.48,74.3,0,Top
IC3,18.73,61.6,0,Top
IC4,10.48,52.07,0,Top
IC5,26.04,41.59,0,Top
IC6,18.41,40.64,270,Top
IC7,14.61,34.93,180,Top
IC8,14.61,22.54,180,Top
IC9,14.61,10.48,180,Top
R1,10.79,103.19,0,Top
R2,10.79,101.6,180,Top
R4,8.57,90.81,270,Top
R5,11.75,90.81,270,Top
R6,13.34,89.85,90,Top
R7,10.79,80.96,0,Top
R8,13.02,80.96,90,Top
R9,10.79,79.38,180,Top
R11,8.57,68.58,270,Top
R12,11.75,68.58,270,Top
R13,13.33,67.47,90,Top
R14,23.34,64.45,180,Top
R15,23.34,62.87,0,Top
R16,23.34,60.33,180,Top
R17,10.79,58.74,0,Top
R18,23.34,58.74,0,Top
R19,13.02,58.74,90,Top
R20,10.8,57.15,180,Top
R22,26.04,47.63,90,Top
R23,27.62,47.63,270,Top
R24,8.57,46.04,270,Top
R25,11.75,46.04,270,Top
R26,13.34,45.09,90,Top
R27,15.24,40.96,270,Top
R28,14.61,27.3,0,Top
R29,14.61,15.24,0,Top
R30,14.61,3.18,0,Top
