Designator,Mid X,Mid Y,Rotation,Layer
C1,31.12,103.19,270,Top
C2,76.52,100.65,90,Top
C3,23.18,93.66,270,Top
C4,22.86,91.12,180,Top
C5,60.01,95.25,0,Top
C6,49.53,94.62,90,Top
C7,59.69,93.03,90,Top
C8,51.44,89.54,90,Top
C9,57.15,88.9,0,Top
C10,28.26,88.27,270,Top
C11,37.78,88.27,270,Top
C12,27.62,85.09,270,Top
C13,38.42,85.09,90,Top
C14,61.91,84.45,0,Top
C15,47.63,83.82,270,Top
C16,28.26,81.92,90,Top
C17,37.78,81.92,90,Top
C18,63.18,81.6,90,Top
C19,48.9,81.28,0,Top
C20,59.37,77.47,90,Top
C21,49.53,67.31,270,Top
C22,60.01,67.31,90,Top
C23,28.26,64.14,270,Top
C24,44.13,64.14,90,Top
C25,49.53,64.14,270,Top
C26,59.37,64.14,270,Top
C27,27.62,60.96,270,Top
C28,38.73,60.01,180,Top
C29,46.67,60.64,90,Top
C30,62.23,58.74,270,Top
C31,62.23,63.82,90,Top
C32,42.23,57.47,90,Top
C33,46.67,57.47,270,Top
C34,60.96,57.15,90,Top
C35,58.1,50.8,180,Top
C36,49.53,42.86,270,Top
C37,60.01,42.86,90,Top
C38,28.26,40.32,270,Top
C39,44.13,40.32,90,Top
C40,49.53,39.69,270,Top
C41,59.37,39.69,270,Top
C42,60.33,37.47,0,Top
C43,27.62,37.15,270,Top
C44,38.73,36.2,180,Top
C45,46.67,35.24,90,Top
C46,42.23,33.97,90,Top
C47,62.23,33.34,270,Top
C48,46.67,32.07,270,Top
C49,60.96,31.75,90,Top
C50,33.34,25.4,180,Top
C51,56.2,25.08,0,Top
C52,58.1,20.64,0,Top
C53,29.53,18.41,180,Top
C54,51.44,13.97,0,Top
C55,50.16,10.16,180,Top
C56,36.51,9.84,90,Top
C57,36.2,3.49,270,Top
C58,58.42,4.76,90,Top
D1,70.17,105.09,180,Top
D2,53.66,99.38,180,Top
D3,27.62,92.39,90,Top
D4,41.27,87.31,270,Top
D5,41.27,82.55,90,Top
D6,26.99,78.11,270,Top
D7,22.86,76.2,180,Top
D8,39.37,65.09,0,Top
D9,39.05,57.15,0,Top
D10,26.99,44.45,90,Top
D11,39.37,41.27,0,Top
D12,39.05,33.34,0,Top
D13,28.58,10.79,180,Top
D14,33.34,10.79,180,Top
D15,39.37,63.18,180,Top
D16,39.37,39.37,180,Top
D17,33.97,30.16,90,Top
D18,35.88,54.29,90,Top
IC1,29.21,97.79,0,Top
IC2,32.7,97.79,0,Top
IC3,54.29,93.34,270,Top
IC4,33.02,85.09,270,Top
IC5,54.61,82.87,270,Top
IC6,54.61,67.31,270,Top
IC7,33.02,60.96,270,Top
IC8,54.61,56.52,270,Top
IC9,54.61,42.86,270,Top
IC10,33.02,37.15,270,Top
IC11,54.61,31.12,270,Top
IC12,31.43,21.91,270,Top
IC13,54.61,17.14,270,Top
IC14,31.43,7.3,270,Top
JP1,3.49,105.73,0,Top
JP2,88.9,105.73,0,Top
JP3,3.49,1.91,0,Top
JP4,88.9,1.91,0,Top
P1,64.77,105.09,180,Top
Q1,50.8,4.45,270,Top
R1,26.67,97.79,270,Top
R2,35.24,97.79,270,Top
R5,47.63,94.62,270,Top
R6,30.8,91.44,270,Top
R7,32.38,91.44,270,Top
R8,33.97,91.44,270,Top
R9,35.56,91.44,270,Top
R10,60.33,89.54,0,Top
R11,48.58,89.22,180,Top
R12,67.31,89.22,180,Top
R13,26.67,88.27,90,Top
R14,39.37,88.27,90,Top
R15,48.58,87.63,0,Top
R16,60.33,87.63,180,Top
R17,64.14,86.68,270,Top
R18,65.72,86.68,270,Top
R19,67.31,86.68,270,Top
R20,48.58,86.04,0,Top
R21,60.33,86.04,180,Top
R22,26.67,81.92,270,Top
R23,39.37,81.92,270,Top
R24,61.6,81.6,90,Top
R25,48.9,79.69,0,Top
R26,28.89,78.74,90,Top
R27,30.48,78.74,90,Top
R28,32.07,78.74,90,Top
R29,33.66,78.74,90,Top
R30,35.24,78.74,90,Top
R31,36.83,78.74,90,Top
R32,48.9,78.11,0,Top
R33,48.9,76.52,0,Top
R35,54.61,74.3,0,Top
R37,52.07,73.34,270,Top
R38,54.61,72.71,0,Top
R39,60.33,71.44,0,Top
R40,49.53,70.48,90,Top
R41,60.33,69.85,180,Top
R43,37.15,68.26,270,Top
R44,29.21,67.31,270,Top
R45,30.8,67.31,270,Top
R46,32.38,67.31,270,Top
R47,33.97,67.31,270,Top
R48,35.56,67.31,270,Top
R49,67.31,65.41,180,Top
R50,26.67,64.14,90,Top
R51,42.55,64.14,270,Top
R52,48.9,61.6,0,Top
R53,60.01,61.6,180,Top
R54,20.32,60.64,0,Top
R55,69.53,60.33,270,Top
R56,48.9,59.69,0,Top
R57,60.01,59.69,180,Top
R58,26.67,57.79,90,Top
R59,28.26,57.79,270,Top
R60,43.82,57.47,270,Top
R61,48.26,57.47,270,Top
R62,32.07,54.93,90,Top
R64,60.33,54.61,180,Top
R66,48.58,53.34,0,Top
R67,60.33,53.02,180,Top
R70,26.67,50.16,270,Top
R71,54.61,49.85,0,Top
R72,52.07,49.21,270,Top
R73,54.61,48.26,0,Top
R74,60.33,46.99,0,Top
R75,49.53,46.04,90,Top
R76,60.33,45.4,180,Top
R77,37.15,44.45,270,Top
R78,29.21,43.5,270,Top
R79,30.8,43.5,270,Top
R80,32.38,43.5,270,Top
R81,33.97,43.5,270,Top
R82,35.56,43.5,270,Top
R83,67.31,41.59,180,Top
R84,26.67,40.32,90,Top
R85,42.55,40.32,270,Top
R86,48.9,36.2,0,Top
R87,60.01,35.88,180,Top
R88,69.53,35.24,270,Top
R89,48.9,34.29,0,Top
R90,60.01,34.29,180,Top
R91,26.67,33.97,90,Top
R92,28.26,33.97,270,Top
R93,43.82,33.97,270,Top
R94,48.26,32.07,270,Top
R95,32.07,31.12,90,Top
R97,60.33,29.21,180,Top
R98,49.85,27.3,90,Top
R99,59.37,26.99,90,Top
R102,26.67,23.18,90,Top
R103,36.2,21.91,90,Top
R104,54.61,20.64,180,Top
R105,26.67,20,90,Top
R106,35.24,18.73,0,Top
R107,49.85,18.41,90,Top
R108,67.31,17.78,180,Top
R109,43.18,17.46,180,Top
R110,59.37,17.14,90,Top
R111,59.37,12.38,0,Top
R112,58.1,9.53,0,Top
R113,50.16,8.57,0,Top
R114,50.16,6.99,180,Top
