Designator,Mid X,Mid Y,Layer,Rotation
R12,40.96,98.74,Top,180
R13,73.5,98.74,Top,270
R16,40.96,97.63,Top,0
R19,73.5,96.68,Top,90
R20,72.39,96.68,Top,90
R21,16.51,96.52,Top,90
R22,15.4,96.52,Top,90
R23,46.99,96.36,Top,180
R24,26.67,96.2,Top,270
R25,62.23,96.2,Top,270
R26,69.69,95.89,Top,0
R27,19.37,95.73,Top,180
R28,38.73,95.73,Top,0
R29,39.85,94.62,Top,0
R30,16.51,94.3,Top,180
R31,62.23,94.3,Top,180
R32,13.97,93.03,Top,0
R33,26.99,93.03,Top,180
R34,61.91,93.03,Top,0
R35,74.93,93.03,Top,180
R36,26.99,91.76,Top,180
R37,61.91,91.76,Top,0
R38,72.71,91.76,Top,180
R39,74.93,91.76,Top,180
R40,13.97,91.76,Top,0
R41,16.19,91.76,Top,0
R42,39.69,90.96,Top,0
R43,49.21,90.96,Top,180
R44,74.93,89.22,Top,180
R45,72.71,89.22,Top,0
R46,72.87,88.11,Top,180
R47,62.23,87.95,Top,0
R48,16.51,87.95,Top,0
R49,26.99,87.95,Top,180
R50,4.29,86.68,Top,270
R51,5.4,86.68,Top,90
R52,26.99,86.68,Top,180
R53,62.23,86.68,Top,0
R54,33.81,86.68,Top,0
R55,74.77,86.52,Top,270
R56,75.88,86.52,Top,90
R57,17.14,86.04,Top,90
R58,13.49,86.04,Top,90
R59,83.98,86.04,Top,90
R60,85.09,86.04,Top,270
R61,14.6,86.04,Top,270
R62,33.81,85.57,Top,0
R63,49.85,85.09,Top,270
R64,75.25,84.93,Top,0
R65,4.29,84.61,Top,270
R66,13.81,84.45,Top,180
R67,85.41,83.98,Top,270
R68,62.07,83.66,Top,90
R69,72.39,83.66,Top,90
R70,59.69,83.03,Top,0
R71,15.88,82.55,Top,90
R72,18.1,82.55,Top,90
R73,73.66,82.23,Top,90
R74,25.24,81.92,Top,90
R75,49.85,81.28,Top,90
R76,17.46,80.96,Top,0
R77,60.96,80.17,Top,90
R78,26.35,80.65,Top,90
R79,63.18,80.17,Top,270
R82,54.93,76.99,Top,180
R83,36.19,76.68,Top,0
R84,15.24,75.25,Top,0
R85,71.76,75.25,Top,0
R88,5.71,72.55,Top,0
R89,10.8,72.55,Top,180
R90,78.11,72.55,Top,0
R91,83.19,72.55,Top,0
R92,21.27,71.44,Top,180
R93,67.63,71.44,Top,0
R94,21.27,70.17,Top,180
R95,67.63,70.17,Top,0
R96,8.26,68.58,Top,0
R97,80.65,68.58,Top,180
R98,8.26,67.31,Top,0
R99,80.65,67.31,Top,180
R100,21.27,66.36,Top,180
R101,67.63,66.36,Top,0
R102,8.26,66.04,Top,0
R103,80.65,66.04,Top,180
R104,11.59,65.72,Top,90
R105,10.48,65.72,Top,90
R106,77.47,65.72,Top,90
R107,78.58,65.72,Top,90
R108,22.23,65.09,Top,180
R109,67.63,65.09,Top,0
R110,19.53,60.8,Top,180
R111,33.02,60.64,Top,180
R112,55.88,60.64,Top,0
R113,69.22,60.64,Top,0
R114,21.11,60.17,Top,90
R115,22.23,60.17,Top,270
R116,30.32,60.01,Top,270
R117,66.52,60.01,Top,270
R118,31.43,60.01,Top,90
R119,57.47,60.01,Top,90
R120,58.58,60.01,Top,270
R121,67.63,60.01,Top,90
R122,19.53,59.69,Top,180
R123,69.22,59.53,Top,0
R124,57.63,58.1,Top,180
R125,21.91,57.47,Top,270
R126,68.74,57.47,Top,270
R129,57.15,56.83,Top,0
R131,31.75,56.83,Top,180
R132,20.32,56.04,Top,0
R133,68.58,54.77,Top,180
R134,31.75,54.29,Top,180
R135,57.15,54.29,Top,0
R136,20.32,53.98,Top,0
R137,68.58,51.44,Top,180
R138,20.32,50.48,Top,0
R140,62.07,80.17,Top,270
R141,68.58,50.32,Top,180
R142,20.32,49.21,Top,0
R143,15.4,48.74,Top,180
R144,73.5,48.74,Top,0
R145,74.57,47.63,Top,0
R146,14.31,47.63,Top,180
R147,20.48,46.99,Top,180
R148,32.23,46.99,Top,0
